Date,Category,payment mode,Description,cashback,Amount
2024-03-22,Bills,UPI,Paid electricity bill,42.87,997.38
2024-03-12,Health,Cash,Purchased vitamins and supplements,0.0,433.13
2024-03-20,Health,Credit Card,Paid for doctor consultation,0.0,102.22
2024-03-25,Investment,Cash,Invested in bonds,0.0,94.89
2024-03-29,Investment,UPI,Invested in bonds,17.07,171.11
2024-03-28,Groceries,UPI,Bought vegetables and fruits,16.9,92.12
2024-03-11,Stationery,Debit Card,Stationery shopping for school,0.0,107.12
2024-03-17,Bills,Debit Card,Paid phone bill,0.0,336.36
2024-03-13,Insurance,UPI,Paid car insurance premium,39.12,954.93
2024-03-17,Insurance,Credit Card,Settled health insurance bill,0.0,467.56
2024-03-28,Transaction,UPI,Transferred money to friend,9.05,157.17
2024-03-28,Health,Cash,Paid for doctor consultation,0.0,477.32
2024-03-05,Groceries,UPI,Purchased organic produce,14.72,248.99
2024-03-16,Insurance,Credit Card,Settled health insurance bill,0.0,118.68
2024-03-16,Insurance,UPI,Completed insurance renewal,18.95,23.94
2024-03-23,Bills,Credit Card,Paid electricity bill,0.0,958.66
2024-03-02,Insurance,Cash,Completed insurance renewal,0.0,110.77
2024-03-05,Transaction,Debit Card,Transferred money to friend,0.0,326.83
2024-03-18,Groceries,Cash,Purchased organic produce,0.0,513.68
2024-03-29,Stationery,UPI,Stationery shopping for school,13.16,386.36
2024-03-29,Bills,Debit Card,Settled water bill,0.0,869.08
2024-03-22,Insurance,Cash,Settled health insurance bill,0.0,65.2
2024-03-19,Bills,Debit Card,Paid phone bill,0.0,773.09
2024-03-25,Insurance,Debit Card,Settled health insurance bill,0.0,197.08
2024-03-30,Transaction,Credit Card,Paid via online transfer,0.0,636.63
2024-03-24,Groceries,Cash,Bought vegetables and fruits,0.0,538.59
2024-03-25,Transaction,Cash,Sent money to relative,0.0,386.64
2024-03-11,Insurance,Debit Card,Paid car insurance premium,0.0,730.2
2024-03-29,Subscription,UPI,Subscribed to magazine,24.95,629.89
2024-03-25,Investment,Debit Card,Invested in mutual funds,0.0,317.73
2024-03-14,Transaction,UPI,Paid via online transfer,45.37,784.85
2024-03-07,Stationery,Credit Card,Purchased office supplies,0.0,737.07
2024-03-18,Groceries,Debit Card,Bought vegetables and fruits,0.0,523.56
2024-03-14,Subscription,Debit Card,Renewed streaming service subscription,0.0,330.89
2024-03-10,Stationery,Cash,Bought pens and notebooks,0.0,728.17
2024-03-06,Insurance,Credit Card,Settled health insurance bill,0.0,722.38
2024-03-20,Bills,Debit Card,Paid electricity bill,0.0,126.86
2024-03-30,Investment,UPI,Invested in bonds,45.72,340.92
2024-03-24,Stationery,UPI,Purchased office supplies,15.98,642.71
2024-03-27,Stationery,Cash,Bought pens and notebooks,0.0,430.57
2024-03-17,Transaction,Debit Card,Paid via online transfer,0.0,921.6
2024-03-09,Stationery,Debit Card,Bought pens and notebooks,0.0,400.79
2024-03-04,Insurance,Cash,Settled health insurance bill,0.0,876.48
2024-03-04,Health,Cash,Purchased vitamins and supplements,0.0,288.0
2024-03-25,Stationery,Cash,Bought pens and notebooks,0.0,319.78
2024-03-09,Subscription,Credit Card,Subscribed to magazine,0.0,91.71
2024-03-10,Stationery,Cash,Bought pens and notebooks,0.0,36.99
2024-03-01,Groceries,UPI,Weekly grocery shopping,48.45,754.31
2024-03-07,Subscription,Cash,Renewed streaming service subscription,0.0,477.35
2024-03-02,Insurance,Cash,Settled health insurance bill,0.0,520.88
2024-03-24,Subscription,UPI,Renewed streaming service subscription,17.98,755.59
2024-03-02,Health,Cash,Bought medicine from pharmacy,0.0,606.16
2024-03-22,Investment,Debit Card,Invested in bonds,0.0,40.78
2024-03-04,Groceries,Credit Card,Purchased organic produce,0.0,435.99
2024-03-04,Bills,Credit Card,Paid phone bill,0.0,386.58
2024-03-02,Health,UPI,Paid for doctor consultation,42.35,786.06
2024-03-30,Insurance,Cash,Settled health insurance bill,0.0,39.24
2024-03-13,Bills,Cash,Settled water bill,0.0,136.92
2024-03-01,Stationery,UPI,Purchased office supplies,0.63,614.34
2024-03-18,Transaction,Debit Card,Paid via online transfer,0.0,94.42
2024-03-24,Investment,Cash,Purchased stocks,0.0,156.19
2024-03-12,Subscription,Cash,Renewed streaming service subscription,0.0,996.89
2024-03-05,Transaction,Cash,Sent money to relative,0.0,293.45
2024-03-15,Groceries,Cash,Bought vegetables and fruits,0.0,913.83
2024-03-14,Health,UPI,Purchased vitamins and supplements,36.39,732.29
2024-03-10,Subscription,Debit Card,Subscribed to magazine,0.0,860.9
2024-03-25,Bills,Debit Card,Paid phone bill,0.0,283.77
2024-03-25,Insurance,Cash,Completed insurance renewal,0.0,832.67
2024-03-10,Insurance,UPI,Paid car insurance premium,31.61,920.81
2024-03-02,Transaction,Credit Card,Paid via online transfer,0.0,805.49
2024-03-22,Investment,Cash,Invested in mutual funds,0.0,826.31
2024-03-06,Insurance,UPI,Completed insurance renewal,41.32,205.88
2024-03-29,Health,UPI,Paid for doctor consultation,19.4,209.48
2024-03-14,Subscription,Debit Card,Bought gym membership subscription,0.0,922.9
2024-03-28,Transaction,Cash,Transferred money to friend,0.0,562.22
2024-03-18,Health,Cash,Paid for doctor consultation,0.0,384.85
2024-03-23,Investment,Debit Card,Invested in mutual funds,0.0,17.98
2024-03-01,Groceries,Debit Card,Bought vegetables and fruits,0.0,52.89
2024-03-25,Groceries,Debit Card,Purchased organic produce,0.0,663.75
2024-03-07,Health,UPI,Bought medicine from pharmacy,45.15,384.21
2024-03-04,Subscription,Debit Card,Bought gym membership subscription,0.0,275.83
2024-03-25,Transaction,Credit Card,Transferred money to friend,0.0,918.57
2024-03-18,Transaction,UPI,Transferred money to friend,43.91,436.54
2024-03-27,Insurance,Credit Card,Paid car insurance premium,0.0,573.94
2024-03-05,Groceries,Cash,Weekly grocery shopping,0.0,340.2
2024-03-24,Stationery,Credit Card,Purchased office supplies,0.0,824.55
2024-03-07,Transaction,Cash,Sent money to relative,0.0,845.9
2024-03-09,Insurance,UPI,Paid car insurance premium,10.15,113.35
2024-03-06,Transaction,Cash,Transferred money to friend,0.0,684.57
2024-03-04,Health,Debit Card,Purchased vitamins and supplements,0.0,281.77
2024-03-24,Subscription,Credit Card,Renewed streaming service subscription,0.0,356.96
2024-03-28,Subscription,UPI,Bought gym membership subscription,42.46,836.35
2024-03-13,Groceries,Debit Card,Bought vegetables and fruits,0.0,217.61
2024-03-20,Investment,Credit Card,Invested in bonds,0.0,240.71
2024-03-02,Subscription,UPI,Bought gym membership subscription,6.68,438.62
2024-03-02,Health,Debit Card,Bought medicine from pharmacy,0.0,819.77
2024-03-11,Investment,UPI,Invested in bonds,42.33,756.19
2024-03-21,Bills,Cash,Settled water bill,0.0,696.99
2024-03-20,Groceries,Cash,Purchased organic produce,0.0,346.96
2024-03-28,Insurance,Cash,Paid car insurance premium,0.0,888.18
2024-04-05,Stationery,Cash,Bought pens and notebooks,0.0,286.96
2024-04-22,Bills,Debit Card,Paid phone bill,0.0,677.12
2024-04-28,Insurance,UPI,Completed insurance renewal,17.25,676.95
2024-04-09,Stationery,Cash,Stationery shopping for school,0.0,773.36
2024-04-15,Stationery,Credit Card,Stationery shopping for school,0.0,183.44
2024-04-22,Groceries,Credit Card,Weekly grocery shopping,0.0,122.11
2024-04-17,Bills,Credit Card,Paid electricity bill,0.0,707.47
2024-04-26,Investment,Credit Card,Invested in bonds,0.0,94.29
2024-04-13,Transaction,UPI,Sent money to relative,30.34,878.44
2024-04-18,Bills,Credit Card,Paid phone bill,0.0,624.27
2024-04-15,Health,Debit Card,Bought medicine from pharmacy,0.0,204.79
2024-04-12,Transaction,UPI,Transferred money to friend,35.21,982.4
2024-04-22,Bills,Debit Card,Paid electricity bill,0.0,487.52
2024-04-04,Investment,UPI,Invested in bonds,20.58,235.86
2024-04-06,Groceries,Credit Card,Purchased organic produce,0.0,734.21
2024-04-11,Subscription,Debit Card,Subscribed to magazine,0.0,543.04
2024-04-12,Transaction,Debit Card,Transferred money to friend,0.0,724.81
2024-04-07,Subscription,UPI,Renewed streaming service subscription,21.13,130.35
2024-04-15,Stationery,UPI,Purchased office supplies,21.79,243.0
2024-04-08,Investment,UPI,Purchased stocks,29.43,485.08
2024-04-28,Health,Credit Card,Paid for doctor consultation,0.0,370.83
2024-04-17,Groceries,Debit Card,Weekly grocery shopping,0.0,91.11
2024-04-17,Transaction,Cash,Sent money to relative,0.0,354.78
2024-04-24,Stationery,Credit Card,Purchased office supplies,0.0,906.78
2024-04-08,Health,Cash,Bought medicine from pharmacy,0.0,324.52
2024-04-24,Transaction,UPI,Paid via online transfer,11.87,276.11
2024-04-26,Groceries,UPI,Purchased organic produce,33.63,698.07
2024-04-18,Insurance,Credit Card,Paid car insurance premium,0.0,218.92
2024-04-20,Transaction,Cash,Sent money to relative,0.0,38.66
2024-04-15,Bills,Credit Card,Paid electricity bill,0.0,911.95
2024-04-05,Groceries,Cash,Purchased organic produce,0.0,514.16
2024-04-14,Insurance,UPI,Completed insurance renewal,3.7,692.97
2024-04-19,Stationery,Credit Card,Bought pens and notebooks,0.0,324.6
2024-04-14,Stationery,UPI,Stationery shopping for school,7.56,875.38
2024-04-16,Stationery,Debit Card,Purchased office supplies,0.0,218.58
2024-04-15,Insurance,Credit Card,Paid car insurance premium,0.0,994.33
2024-04-29,Insurance,Credit Card,Paid car insurance premium,0.0,978.18
2024-04-08,Stationery,Credit Card,Purchased office supplies,0.0,611.87
2024-04-17,Groceries,Debit Card,Weekly grocery shopping,0.0,548.61
2024-04-16,Groceries,UPI,Purchased organic produce,42.98,589.4
2024-04-11,Groceries,Cash,Weekly grocery shopping,0.0,551.94
2024-04-24,Investment,UPI,Invested in mutual funds,25.87,253.07
2024-04-06,Health,UPI,Paid for doctor consultation,12.39,894.31
2024-04-08,Insurance,UPI,Paid car insurance premium,49.1,558.63
2024-04-15,Bills,Debit Card,Paid electricity bill,0.0,154.56
2024-04-24,Groceries,Cash,Bought vegetables and fruits,0.0,857.54
2024-04-01,Subscription,Debit Card,Renewed streaming service subscription,0.0,161.0
2024-04-26,Investment,Debit Card,Invested in mutual funds,0.0,66.37
2024-04-09,Subscription,UPI,Bought gym membership subscription,34.6,365.66
2024-04-25,Insurance,Debit Card,Settled health insurance bill,0.0,290.68
2024-04-26,Groceries,Cash,Bought vegetables and fruits,0.0,179.45
2024-04-21,Subscription,Debit Card,Subscribed to magazine,0.0,223.4
2024-04-10,Stationery,Debit Card,Bought pens and notebooks,0.0,551.07
2024-04-09,Stationery,UPI,Purchased office supplies,35.51,224.01
2024-04-17,Groceries,Debit Card,Weekly grocery shopping,0.0,707.32
2024-04-25,Groceries,Credit Card,Bought vegetables and fruits,0.0,871.48
2024-04-14,Insurance,UPI,Paid car insurance premium,34.52,57.71
2024-04-24,Bills,UPI,Paid phone bill,43.23,186.02
2024-04-17,Insurance,Cash,Settled health insurance bill,0.0,604.74
2024-04-22,Investment,UPI,Purchased stocks,39.26,934.34
2024-04-10,Transaction,Credit Card,Sent money to relative,0.0,434.53
2024-04-01,Investment,Debit Card,Purchased stocks,0.0,213.6
2024-04-03,Health,Cash,Purchased vitamins and supplements,0.0,444.51
2024-04-05,Investment,Debit Card,Purchased stocks,0.0,443.14
2024-04-28,Insurance,Debit Card,Settled health insurance bill,0.0,858.02
2024-04-29,Subscription,Debit Card,Subscribed to magazine,0.0,798.29
2024-04-13,Investment,Debit Card,Purchased stocks,0.0,691.71
2024-04-08,Insurance,Cash,Paid car insurance premium,0.0,749.62
2024-04-02,Insurance,Cash,Settled health insurance bill,0.0,617.3
2024-04-17,Groceries,Debit Card,Bought vegetables and fruits,0.0,374.86
2024-04-10,Subscription,Debit Card,Subscribed to magazine,0.0,269.6
2024-04-21,Bills,UPI,Settled water bill,0.04,996.83
2024-04-23,Insurance,Debit Card,Completed insurance renewal,0.0,539.37
2024-04-11,Groceries,Debit Card,Bought vegetables and fruits,0.0,21.2
2024-04-12,Groceries,Debit Card,Purchased organic produce,0.0,545.34
2024-04-21,Groceries,Credit Card,Bought vegetables and fruits,0.0,423.03
2024-04-20,Transaction,Debit Card,Transferred money to friend,0.0,20.32
2024-04-09,Insurance,UPI,Completed insurance renewal,2.93,380.74
2024-04-20,Bills,Cash,Paid phone bill,0.0,490.98
2024-04-06,Stationery,Debit Card,Stationery shopping for school,0.0,514.28
2024-04-10,Stationery,Debit Card,Bought pens and notebooks,0.0,367.48
2024-04-15,Groceries,Debit Card,Weekly grocery shopping,0.0,24.72
2024-04-04,Insurance,UPI,Settled health insurance bill,30.8,697.97
2024-04-06,Insurance,Debit Card,Paid car insurance premium,0.0,638.24
2024-04-04,Bills,Credit Card,Settled water bill,0.0,898.68
2024-04-01,Transaction,Credit Card,Paid via online transfer,0.0,553.77
2024-04-26,Bills,Cash,Paid phone bill,0.0,214.97
2024-04-12,Groceries,UPI,Weekly grocery shopping,7.5,937.42
2024-04-08,Transaction,Debit Card,Paid via online transfer,0.0,838.41
2024-04-29,Health,Debit Card,Bought medicine from pharmacy,0.0,879.61
2024-04-21,Subscription,UPI,Renewed streaming service subscription,30.16,166.78
2024-04-24,Groceries,UPI,Purchased organic produce,38.31,776.81
2024-04-21,Stationery,Debit Card,Stationery shopping for school,0.0,896.62
2024-04-15,Health,Cash,Paid for doctor consultation,0.0,338.52
2024-04-06,Groceries,UPI,Weekly grocery shopping,49.55,844.45
2024-04-11,Subscription,Debit Card,Subscribed to magazine,0.0,582.19
2024-04-24,Bills,Credit Card,Settled water bill,0.0,227.11
2024-04-01,Groceries,Cash,Purchased organic produce,0.0,619.49
2024-04-17,Bills,Cash,Paid electricity bill,0.0,451.29
2024-04-17,Bills,Cash,Paid electricity bill,0.0,581.59
2024-05-25,Transaction,Debit Card,Sent money to relative,0.0,770.67
2024-05-19,Groceries,Debit Card,Purchased organic produce,0.0,523.82
2024-05-07,Bills,Credit Card,Paid phone bill,0.0,441.9
2024-05-05,Bills,UPI,Paid phone bill,32.78,415.61
2024-05-29,Insurance,Debit Card,Completed insurance renewal,0.0,837.61
2024-05-03,Transaction,UPI,Paid via online transfer,41.21,138.13
2024-05-28,Bills,Credit Card,Paid electricity bill,0.0,742.74
2024-05-25,Groceries,Debit Card,Weekly grocery shopping,0.0,625.39
2024-05-07,Stationery,UPI,Bought pens and notebooks,43.67,364.83
2024-05-28,Stationery,Debit Card,Purchased office supplies,0.0,56.17
2024-05-02,Subscription,Debit Card,Bought gym membership subscription,0.0,492.48
2024-05-23,Transaction,Debit Card,Paid via online transfer,0.0,40.78
2024-05-04,Groceries,Debit Card,Bought vegetables and fruits,0.0,347.21
2024-05-08,Subscription,Credit Card,Subscribed to magazine,0.0,805.92
2024-05-11,Insurance,Debit Card,Settled health insurance bill,0.0,550.06
2024-05-04,Investment,UPI,Invested in mutual funds,29.63,149.89
2024-05-28,Health,Credit Card,Purchased vitamins and supplements,0.0,719.29
2024-05-26,Investment,UPI,Purchased stocks,46.46,582.64
2024-05-05,Health,Debit Card,Purchased vitamins and supplements,0.0,676.61
2024-05-30,Bills,Credit Card,Settled water bill,0.0,913.74
2024-05-12,Investment,UPI,Invested in mutual funds,47.17,250.64
2024-05-28,Insurance,Debit Card,Completed insurance renewal,0.0,855.07
2024-05-05,Subscription,Cash,Renewed streaming service subscription,0.0,976.28
2024-05-24,Groceries,UPI,Purchased organic produce,23.42,408.39
2024-05-26,Transaction,Credit Card,Transferred money to friend,0.0,854.58
2024-05-16,Insurance,Debit Card,Paid car insurance premium,0.0,102.83
2024-05-18,Insurance,Credit Card,Completed insurance renewal,0.0,35.85
2024-05-20,Transaction,Debit Card,Sent money to relative,0.0,447.7
2024-05-12,Insurance,Debit Card,Completed insurance renewal,0.0,722.39
2024-05-28,Health,UPI,Bought medicine from pharmacy,44.5,478.47
2024-05-22,Groceries,UPI,Weekly grocery shopping,40.68,192.49
2024-05-22,Insurance,UPI,Settled health insurance bill,21.41,562.63
2024-05-15,Subscription,Credit Card,Renewed streaming service subscription,0.0,539.85
2024-05-20,Bills,UPI,Settled water bill,38.33,256.97
2024-05-19,Bills,Credit Card,Paid phone bill,0.0,895.96
2024-05-04,Investment,Credit Card,Purchased stocks,0.0,781.54
2024-05-16,Stationery,Credit Card,Bought pens and notebooks,0.0,674.06
2024-05-23,Investment,Cash,Invested in bonds,0.0,33.14
2024-05-13,Stationery,Credit Card,Purchased office supplies,0.0,653.48
2024-05-04,Investment,Debit Card,Invested in bonds,0.0,747.55
2024-05-28,Health,Debit Card,Purchased vitamins and supplements,0.0,537.69
2024-05-02,Bills,UPI,Paid phone bill,30.64,462.78
2024-05-14,Subscription,Credit Card,Subscribed to magazine,0.0,479.03
2024-05-21,Bills,Debit Card,Paid electricity bill,0.0,287.16
2024-05-30,Bills,Debit Card,Paid electricity bill,0.0,296.07
2024-05-15,Bills,Cash,Paid electricity bill,0.0,533.28
2024-05-23,Subscription,Debit Card,Subscribed to magazine,0.0,909.86
2024-05-11,Transaction,Debit Card,Paid via online transfer,0.0,473.21
2024-05-28,Groceries,Debit Card,Purchased organic produce,0.0,329.6
2024-05-03,Insurance,UPI,Completed insurance renewal,45.81,629.52
2024-05-02,Groceries,Credit Card,Purchased organic produce,0.0,283.49
2024-05-11,Insurance,Credit Card,Settled health insurance bill,0.0,57.02
2024-05-12,Groceries,UPI,Weekly grocery shopping,9.18,474.9
2024-05-20,Investment,UPI,Invested in bonds,3.59,289.88
2024-05-24,Insurance,Debit Card,Paid car insurance premium,0.0,631.71
2024-05-29,Insurance,Cash,Completed insurance renewal,0.0,852.44
2024-05-06,Stationery,Debit Card,Purchased office supplies,0.0,717.94
2024-05-30,Transaction,UPI,Paid via online transfer,5.32,280.84
2024-05-30,Subscription,Cash,Subscribed to magazine,0.0,386.99
2024-05-10,Insurance,Debit Card,Paid car insurance premium,0.0,918.43
2024-05-16,Bills,Credit Card,Paid phone bill,0.0,251.89
2024-05-26,Insurance,Debit Card,Settled health insurance bill,0.0,431.77
2024-05-19,Health,Credit Card,Purchased vitamins and supplements,0.0,678.28
2024-05-05,Investment,Cash,Invested in mutual funds,0.0,796.69
2024-05-03,Investment,Debit Card,Invested in mutual funds,0.0,206.0
2024-05-15,Stationery,Debit Card,Bought pens and notebooks,0.0,928.17
2024-05-11,Groceries,Cash,Weekly grocery shopping,0.0,602.97
2024-05-10,Insurance,Debit Card,Paid car insurance premium,0.0,235.01
2024-05-01,Insurance,Cash,Settled health insurance bill,0.0,603.11
2024-05-08,Stationery,Cash,Bought pens and notebooks,0.0,289.38
2024-05-24,Health,Debit Card,Bought medicine from pharmacy,0.0,122.95
2024-05-19,Transaction,Debit Card,Transferred money to friend,0.0,458.66
2024-05-01,Investment,Credit Card,Purchased stocks,0.0,202.94
2024-05-29,Subscription,Cash,Subscribed to magazine,0.0,381.47
2024-05-21,Transaction,Cash,Sent money to relative,0.0,640.39
2024-05-15,Bills,UPI,Settled water bill,30.33,528.42
2024-05-08,Transaction,Credit Card,Sent money to relative,0.0,966.75
2024-05-13,Health,UPI,Bought medicine from pharmacy,29.01,583.77
2024-05-27,Subscription,Credit Card,Subscribed to magazine,0.0,735.98
2024-05-16,Health,UPI,Bought medicine from pharmacy,44.23,611.29
2024-05-26,Subscription,Debit Card,Bought gym membership subscription,0.0,46.81
2024-05-01,Stationery,Debit Card,Purchased office supplies,0.0,252.76
2024-05-29,Subscription,Cash,Renewed streaming service subscription,0.0,555.03
2024-05-16,Groceries,Cash,Bought vegetables and fruits,0.0,503.54
2024-05-10,Health,UPI,Bought medicine from pharmacy,39.62,644.49
2024-05-16,Investment,Debit Card,Purchased stocks,0.0,696.75
2024-05-27,Stationery,Debit Card,Purchased office supplies,0.0,697.3
2024-05-06,Insurance,Credit Card,Settled health insurance bill,0.0,943.5
2024-05-04,Bills,Credit Card,Paid phone bill,0.0,13.45
2024-05-14,Bills,Debit Card,Paid phone bill,0.0,711.81
2024-05-01,Transaction,Cash,Paid via online transfer,0.0,892.88
2024-05-01,Stationery,Cash,Purchased office supplies,0.0,689.41
2024-05-28,Investment,Credit Card,Invested in mutual funds,0.0,20.08
2024-05-09,Groceries,Credit Card,Weekly grocery shopping,0.0,771.73
2024-05-22,Transaction,Credit Card,Sent money to relative,0.0,369.24
2024-05-02,Stationery,Credit Card,Stationery shopping for school,0.0,348.95
2024-05-24,Investment,Cash,Purchased stocks,0.0,285.34
2024-05-30,Investment,Cash,Purchased stocks,0.0,218.0
2024-05-15,Stationery,Credit Card,Bought pens and notebooks,0.0,891.86
2024-05-07,Groceries,UPI,Purchased organic produce,45.52,951.29
