Date,Category,payment mode,Description,cashback,Amount
2024-08-15,Transaction,Cash,Sent money to relative,0.0,803.23
2024-09-14,Groceries,UPI,Purchased organic produce,0.99,318.68
2024-09-16,Insurance,Credit Card,Paid car insurance premium,0.0,247.72
2024-09-17,Transaction,UPI,Sent money to relative,25.95,213.74
2024-09-16,Health,Debit Card,Bought medicine from pharmacy,0.0,567.1
2024-09-05,Stationery,Credit Card,Purchased office supplies,0.0,957.57
2024-09-09,Subscription,UPI,Bought gym membership subscription,49.32,437.06
2024-09-12,Investment,Credit Card,Invested in bonds,0.0,530.97
2024-09-15,Subscription,Debit Card,Subscribed to magazine,0.0,579.27
2024-09-02,Insurance,UPI,Completed insurance renewal,6.8,168.21
2024-09-12,Transaction,Debit Card,Transferred money to friend,0.0,539.08
2024-09-15,Investment,Credit Card,Purchased stocks,0.0,734.47
2024-09-28,Bills,Cash,Paid electricity bill,0.0,869.41
2024-09-08,Subscription,Debit Card,Renewed streaming service subscription,0.0,938.29
2024-09-01,Groceries,Cash,Bought vegetables and fruits,0.0,370.08
2024-09-07,Stationery,Debit Card,Purchased office supplies,0.0,566.37
2024-09-21,Bills,Credit Card,Paid electricity bill,0.0,435.31
2024-09-03,Health,Credit Card,Bought medicine from pharmacy,0.0,550.91
2024-09-10,Groceries,Credit Card,Purchased organic produce,0.0,779.63
2024-09-18,Subscription,Credit Card,Subscribed to magazine,0.0,218.5
2024-09-05,Subscription,UPI,Subscribed to magazine,49.22,771.65
2024-09-22,Health,Credit Card,Purchased vitamins and supplements,0.0,682.69
2024-09-06,Insurance,Cash,Settled health insurance bill,0.0,929.41
2024-09-01,Groceries,Credit Card,Bought vegetables and fruits,0.0,421.25
2024-09-25,Subscription,Cash,Subscribed to magazine,0.0,86.73
2024-09-20,Insurance,Cash,Settled health insurance bill,0.0,637.67
2024-09-21,Groceries,Debit Card,Weekly grocery shopping,0.0,189.18
2024-09-09,Health,UPI,Purchased vitamins and supplements,4.37,999.8
2024-09-29,Health,Debit Card,Bought medicine from pharmacy,0.0,958.75
2024-09-07,Groceries,UPI,Bought vegetables and fruits,25.05,381.5
2024-09-01,Health,Cash,Purchased vitamins and supplements,0.0,444.67
2024-09-23,Investment,Cash,Invested in mutual funds,0.0,841.78
2024-09-22,Investment,Cash,Purchased stocks,0.0,810.2
2024-09-02,Transaction,Credit Card,Transferred money to friend,0.0,55.36
2024-09-08,Bills,Cash,Paid phone bill,0.0,839.38
2024-09-07,Subscription,UPI,Renewed streaming service subscription,22.26,386.98
2024-09-07,Transaction,Debit Card,Sent money to relative,0.0,480.57
2024-09-27,Stationery,UPI,Purchased office supplies,21.83,469.74
2024-09-01,Health,Debit Card,Bought medicine from pharmacy,0.0,136.97
2024-09-16,Groceries,Credit Card,Bought vegetables and fruits,0.0,802.28
2024-09-13,Transaction,Debit Card,Sent money to relative,0.0,195.22
2024-09-23,Subscription,Cash,Bought gym membership subscription,0.0,147.96
2024-09-03,Insurance,UPI,Settled health insurance bill,27.89,560.79
2024-09-27,Health,Credit Card,Paid for doctor consultation,0.0,779.33
2024-09-15,Investment,Credit Card,Invested in bonds,0.0,586.98
2024-09-27,Health,UPI,Bought medicine from pharmacy,7.73,396.68
2024-09-10,Health,UPI,Bought medicine from pharmacy,14.94,843.88
2024-09-04,Investment,UPI,Purchased stocks,20.79,966.88
2024-09-07,Health,UPI,Purchased vitamins and supplements,24.78,696.08
2024-09-06,Stationery,Debit Card,Bought pens and notebooks,0.0,53.21
2024-09-17,Stationery,UPI,Bought pens and notebooks,12.99,880.21
2024-09-09,Subscription,Debit Card,Renewed streaming service subscription,0.0,847.3
2024-09-04,Bills,Cash,Paid electricity bill,0.0,457.07
2024-09-05,Health,Debit Card,Bought medicine from pharmacy,0.0,476.33
2024-09-21,Health,Cash,Bought medicine from pharmacy,0.0,818.51
2024-09-28,Groceries,Cash,Purchased organic produce,0.0,977.66
2024-09-25,Transaction,Debit Card,Transferred money to friend,0.0,792.54
2024-09-07,Transaction,Cash,Paid via online transfer,0.0,27.17
2024-09-03,Subscription,Cash,Bought gym membership subscription,0.0,560.89
2024-09-12,Investment,Credit Card,Purchased stocks,0.0,783.48
2024-09-02,Stationery,Cash,Purchased office supplies,0.0,684.58
2024-09-18,Investment,Credit Card,Invested in bonds,0.0,20.79
2024-09-09,Subscription,Credit Card,Renewed streaming service subscription,0.0,887.86
2024-09-06,Subscription,Cash,Renewed streaming service subscription,0.0,630.47
2024-09-18,Groceries,Debit Card,Bought vegetables and fruits,0.0,467.46
2024-09-02,Bills,UPI,Settled water bill,21.02,435.56
2024-09-18,Bills,Debit Card,Settled water bill,0.0,262.85
2024-09-20,Transaction,UPI,Paid via online transfer,8.7,548.56
2024-09-13,Health,UPI,Bought medicine from pharmacy,11.95,185.01
2024-09-15,Investment,UPI,Invested in bonds,28.55,184.46
2024-09-07,Health,Debit Card,Purchased vitamins and supplements,0.0,688.86
2024-09-25,Subscription,Debit Card,Subscribed to magazine,0.0,488.77
2024-09-29,Transaction,Debit Card,Paid via online transfer,0.0,654.02
2024-09-13,Stationery,Debit Card,Bought pens and notebooks,0.0,495.1
2024-09-03,Transaction,Debit Card,Paid via online transfer,0.0,354.35
2024-09-11,Stationery,UPI,Purchased office supplies,30.84,911.02
2024-09-13,Bills,Cash,Paid phone bill,0.0,883.88
2024-09-25,Health,Cash,Paid for doctor consultation,0.0,795.86
2024-09-19,Subscription,UPI,Subscribed to magazine,46.28,750.95
2024-09-09,Investment,Debit Card,Invested in mutual funds,0.0,440.93
2024-09-28,Groceries,UPI,Bought vegetables and fruits,40.71,654.69
2024-09-27,Health,Credit Card,Purchased vitamins and supplements,0.0,189.01
2024-09-06,Insurance,Credit Card,Settled health insurance bill,0.0,53.8
2024-09-27,Subscription,Debit Card,Subscribed to magazine,0.0,149.5
2024-09-10,Investment,Debit Card,Invested in mutual funds,0.0,115.2
2024-09-27,Stationery,UPI,Bought pens and notebooks,34.26,361.52
2024-09-26,Groceries,UPI,Bought vegetables and fruits,15.15,226.18
2024-09-24,Bills,Cash,Paid electricity bill,0.0,615.23
2024-09-17,Insurance,UPI,Completed insurance renewal,38.07,150.86
2024-09-03,Groceries,UPI,Weekly grocery shopping,25.09,920.15
2024-09-29,Subscription,Cash,Subscribed to magazine,0.0,534.87
2024-09-26,Investment,Credit Card,Invested in mutual funds,0.0,593.57
2024-09-12,Bills,Credit Card,Settled water bill,0.0,553.39
2024-09-08,Health,Credit Card,Purchased vitamins and supplements,0.0,854.17
2024-09-23,Investment,Debit Card,Invested in bonds,0.0,550.67
2024-09-04,Insurance,Cash,Paid car insurance premium,0.0,757.4
2024-09-14,Groceries,Credit Card,Purchased organic produce,0.0,391.65
2024-09-06,Transaction,Debit Card,Transferred money to friend,0.0,815.21
2024-09-24,Subscription,Debit Card,Subscribed to magazine,0.0,605.98
2024-09-21,Bills,Credit Card,Settled water bill,0.0,309.53
2024-09-28,Bills,Credit Card,Paid phone bill,0.0,768.21
2024-10-22,Stationery,Debit Card,Purchased office supplies,0.0,628.23
2024-10-12,Health,Credit Card,Paid for doctor consultation,0.0,930.84
2024-10-11,Stationery,Cash,Bought pens and notebooks,0.0,933.54
2024-10-08,Insurance,Debit Card,Settled health insurance bill,0.0,146.42
2024-10-10,Transaction,UPI,Sent money to relative,25.58,871.26
2024-10-29,Groceries,Debit Card,Purchased organic produce,0.0,784.77
2024-10-17,Groceries,UPI,Weekly grocery shopping,15.49,574.38
2024-10-28,Bills,Debit Card,Paid electricity bill,0.0,288.8
2024-10-12,Groceries,Cash,Weekly grocery shopping,0.0,410.69
2024-10-01,Health,Debit Card,Bought medicine from pharmacy,0.0,591.71
2024-10-24,Subscription,Debit Card,Renewed streaming service subscription,0.0,117.53
2024-10-06,Transaction,Credit Card,Paid via online transfer,0.0,282.28
2024-10-26,Transaction,Cash,Sent money to relative,0.0,366.89
2024-10-14,Stationery,Credit Card,Bought pens and notebooks,0.0,651.68
2024-10-04,Transaction,Debit Card,Transferred money to friend,0.0,137.52
2024-10-09,Subscription,Debit Card,Bought gym membership subscription,0.0,514.75
2024-10-30,Stationery,Cash,Purchased office supplies,0.0,98.91
2024-10-12,Insurance,Cash,Completed insurance renewal,0.0,674.09
2024-10-23,Transaction,UPI,Transferred money to friend,24.42,821.52
2024-10-03,Insurance,Credit Card,Paid car insurance premium,0.0,13.13
2024-10-18,Bills,Debit Card,Settled water bill,0.0,700.03
2024-10-28,Health,Credit Card,Purchased vitamins and supplements,0.0,393.43
2024-10-21,Subscription,UPI,Bought gym membership subscription,11.95,314.28
2024-10-29,Stationery,Cash,Purchased office supplies,0.0,540.52
2024-10-29,Groceries,Debit Card,Weekly grocery shopping,0.0,879.99
2024-10-26,Groceries,Debit Card,Bought vegetables and fruits,0.0,652.55
2024-10-03,Transaction,Debit Card,Transferred money to friend,0.0,78.97
2024-10-05,Insurance,Cash,Settled health insurance bill,0.0,206.81
2024-10-22,Insurance,UPI,Paid car insurance premium,2.9,718.97
2024-10-25,Subscription,Debit Card,Subscribed to magazine,0.0,387.19
2024-10-22,Insurance,Credit Card,Paid car insurance premium,0.0,876.11
2024-10-11,Health,UPI,Bought medicine from pharmacy,38.5,303.83
2024-10-19,Health,UPI,Bought medicine from pharmacy,31.85,114.22
2024-10-10,Transaction,Debit Card,Paid via online transfer,0.0,185.69
2024-10-11,Groceries,Credit Card,Weekly grocery shopping,0.0,906.09
2024-10-19,Bills,UPI,Paid phone bill,36.04,177.14
2024-10-21,Investment,Credit Card,Invested in mutual funds,0.0,437.83
2024-10-03,Insurance,Debit Card,Completed insurance renewal,0.0,546.93
2024-10-20,Transaction,Credit Card,Paid via online transfer,0.0,897.9
2024-10-12,Investment,Debit Card,Invested in mutual funds,0.0,679.68
2024-10-02,Bills,UPI,Paid phone bill,41.51,539.14
2024-10-11,Transaction,Credit Card,Transferred money to friend,0.0,191.62
2024-10-24,Health,UPI,Paid for doctor consultation,19.12,356.31
2024-10-10,Subscription,UPI,Renewed streaming service subscription,17.25,849.31
2024-10-08,Bills,UPI,Settled water bill,10.66,135.12
2024-10-27,Groceries,UPI,Purchased organic produce,34.06,70.46
2024-10-10,Subscription,Debit Card,Subscribed to magazine,0.0,273.47
2024-10-27,Health,UPI,Paid for doctor consultation,7.01,845.32
2024-10-30,Health,Cash,Purchased vitamins and supplements,0.0,726.32
2024-10-25,Health,Debit Card,Paid for doctor consultation,0.0,448.43
2024-10-21,Stationery,Cash,Stationery shopping for school,0.0,788.35
2024-10-09,Stationery,Cash,Purchased office supplies,0.0,964.67
2024-10-12,Health,Debit Card,Bought medicine from pharmacy,0.0,512.34
2024-10-05,Subscription,UPI,Bought gym membership subscription,24.46,564.39
2024-10-30,Insurance,Debit Card,Settled health insurance bill,0.0,630.04
2024-10-27,Transaction,Credit Card,Paid via online transfer,0.0,571.96
2024-10-26,Health,Cash,Purchased vitamins and supplements,0.0,445.26
2024-10-22,Transaction,UPI,Paid via online transfer,49.3,393.79
2024-10-02,Insurance,UPI,Completed insurance renewal,10.27,173.12
2024-10-06,Transaction,UPI,Transferred money to friend,15.61,560.77
2024-10-10,Subscription,Debit Card,Renewed streaming service subscription,0.0,349.73
2024-10-08,Investment,UPI,Invested in bonds,45.13,816.87
2024-10-23,Subscription,UPI,Subscribed to magazine,11.5,979.87
2024-10-20,Groceries,Debit Card,Bought vegetables and fruits,0.0,12.15
2024-10-27,Groceries,Credit Card,Weekly grocery shopping,0.0,654.26
2024-10-08,Insurance,Cash,Completed insurance renewal,0.0,628.54
2024-10-13,Health,Credit Card,Bought medicine from pharmacy,0.0,245.83
2024-10-15,Transaction,Cash,Transferred money to friend,0.0,798.45
2024-10-04,Subscription,Debit Card,Subscribed to magazine,0.0,159.8
2024-10-28,Health,Debit Card,Paid for doctor consultation,0.0,314.71
2024-10-22,Stationery,UPI,Bought pens and notebooks,7.85,982.43
2024-10-06,Subscription,Debit Card,Renewed streaming service subscription,0.0,35.65
2024-10-19,Bills,Debit Card,Paid electricity bill,0.0,728.42
2024-10-11,Investment,UPI,Purchased stocks,11.2,84.73
2024-10-06,Bills,UPI,Paid phone bill,6.12,587.07
2024-10-04,Stationery,Cash,Bought pens and notebooks,0.0,253.49
2024-10-22,Insurance,Debit Card,Settled health insurance bill,0.0,209.77
2024-10-13,Bills,Cash,Paid electricity bill,0.0,680.51
2024-10-23,Health,Cash,Bought medicine from pharmacy,0.0,361.34
2024-10-28,Bills,Cash,Settled water bill,0.0,942.44
2024-10-04,Health,Debit Card,Bought medicine from pharmacy,0.0,27.94
2024-10-03,Groceries,UPI,Purchased organic produce,3.13,413.43
2024-10-19,Investment,Cash,Invested in mutual funds,0.0,149.56
2024-10-24,Stationery,UPI,Purchased office supplies,30.28,142.25
2024-10-06,Stationery,Debit Card,Stationery shopping for school,0.0,942.76
2024-10-22,Bills,Credit Card,Settled water bill,0.0,581.05
2024-10-22,Insurance,Cash,Paid car insurance premium,0.0,934.2
2024-10-13,Stationery,UPI,Purchased office supplies,27.14,291.55
2024-10-18,Investment,Credit Card,Invested in mutual funds,0.0,50.54
2024-10-30,Bills,Cash,Settled water bill,0.0,976.35
2024-10-02,Groceries,Cash,Bought vegetables and fruits,0.0,798.65
2024-10-28,Health,UPI,Bought medicine from pharmacy,11.64,151.25
2024-10-06,Transaction,UPI,Transferred money to friend,12.08,485.2
2024-10-19,Insurance,Debit Card,Settled health insurance bill,0.0,522.14
2024-10-21,Groceries,Cash,Weekly grocery shopping,0.0,143.95
2024-10-08,Stationery,Cash,Purchased office supplies,0.0,958.01
2024-10-22,Health,Credit Card,Bought medicine from pharmacy,0.0,227.32
2024-10-29,Stationery,UPI,Purchased office supplies,44.95,151.16
2024-10-28,Subscription,Debit Card,Subscribed to magazine,0.0,423.43
2024-10-15,Investment,Debit Card,Invested in bonds,0.0,809.02
2024-11-16,Groceries,Debit Card,Weekly grocery shopping,0.0,457.26
2024-11-25,Insurance,Cash,Settled health insurance bill,0.0,673.0
2024-11-21,Stationery,Debit Card,Stationery shopping for school,0.0,42.15
2024-11-07,Health,Credit Card,Paid for doctor consultation,0.0,923.59
2024-11-12,Subscription,Cash,Bought gym membership subscription,0.0,383.88
2024-11-12,Groceries,Credit Card,Weekly grocery shopping,0.0,307.16
2024-11-22,Bills,UPI,Settled water bill,7.97,586.94
2024-11-02,Insurance,UPI,Settled health insurance bill,7.6,470.39
2024-11-01,Transaction,UPI,Transferred money to friend,46.2,485.17
2024-11-07,Groceries,UPI,Weekly grocery shopping,10.0,442.08
2024-11-23,Insurance,Cash,Settled health insurance bill,0.0,387.61
2024-11-20,Groceries,Cash,Weekly grocery shopping,0.0,99.73
2024-11-03,Transaction,Debit Card,Sent money to relative,0.0,71.41
2024-11-12,Investment,Debit Card,Purchased stocks,0.0,663.6
2024-11-19,Investment,UPI,Purchased stocks,27.81,828.96
2024-11-23,Groceries,Cash,Purchased organic produce,0.0,885.57
2024-11-14,Subscription,UPI,Subscribed to magazine,19.97,414.63
2024-11-05,Bills,Debit Card,Settled water bill,0.0,254.49
2024-11-14,Subscription,Cash,Renewed streaming service subscription,0.0,447.88
2024-11-22,Transaction,Credit Card,Sent money to relative,0.0,786.36
2024-11-10,Subscription,Credit Card,Bought gym membership subscription,0.0,600.14
2024-11-23,Subscription,Cash,Subscribed to magazine,0.0,357.25
2024-11-08,Insurance,UPI,Settled health insurance bill,11.83,16.38
2024-11-12,Investment,UPI,Invested in mutual funds,26.31,757.09
2024-11-06,Health,Cash,Bought medicine from pharmacy,0.0,670.87
2024-11-18,Bills,Cash,Paid phone bill,0.0,31.38
2024-11-01,Health,Debit Card,Paid for doctor consultation,0.0,972.67
2024-11-20,Transaction,Cash,Paid via online transfer,0.0,560.0
2024-11-18,Investment,Debit Card,Invested in mutual funds,0.0,495.18
2024-11-18,Bills,Credit Card,Settled water bill,0.0,925.66
2024-11-01,Transaction,Cash,Paid via online transfer,0.0,394.85
2024-11-15,Groceries,UPI,Bought vegetables and fruits,12.7,185.67
2024-11-11,Groceries,Cash,Purchased organic produce,0.0,772.09
2024-11-11,Investment,Debit Card,Invested in mutual funds,0.0,648.55
2024-11-18,Subscription,Cash,Bought gym membership subscription,0.0,305.0
2024-11-05,Stationery,Credit Card,Bought pens and notebooks,0.0,557.31
2024-11-12,Insurance,Debit Card,Settled health insurance bill,0.0,265.66
2024-11-10,Subscription,Credit Card,Subscribed to magazine,0.0,613.08
2024-11-02,Investment,Debit Card,Invested in bonds,0.0,855.25
2024-11-18,Investment,Credit Card,Invested in bonds,0.0,620.82
2024-11-02,Groceries,Credit Card,Weekly grocery shopping,0.0,555.13
2024-11-17,Investment,Cash,Invested in mutual funds,0.0,358.08
2024-11-07,Investment,Cash,Invested in bonds,0.0,479.53
2024-11-19,Health,Credit Card,Purchased vitamins and supplements,0.0,652.45
2024-11-26,Transaction,Cash,Transferred money to friend,0.0,291.87
2024-11-21,Insurance,Cash,Completed insurance renewal,0.0,281.24
2024-11-13,Stationery,UPI,Bought pens and notebooks,26.0,739.58
2024-11-08,Transaction,Debit Card,Sent money to relative,0.0,474.33
2024-11-18,Insurance,Credit Card,Paid car insurance premium,0.0,446.96
2024-11-23,Groceries,Cash,Bought vegetables and fruits,0.0,358.87
2024-11-10,Groceries,UPI,Weekly grocery shopping,18.35,492.2
2024-11-26,Insurance,Debit Card,Paid car insurance premium,0.0,657.41
2024-11-20,Insurance,Cash,Completed insurance renewal,0.0,802.71
2024-11-22,Investment,Credit Card,Invested in bonds,0.0,126.14
2024-11-02,Groceries,UPI,Bought vegetables and fruits,2.69,573.79
2024-11-12,Insurance,UPI,Settled health insurance bill,36.44,121.68
2024-11-17,Insurance,UPI,Paid car insurance premium,0.1,980.48
2024-11-05,Investment,Credit Card,Invested in mutual funds,0.0,262.18
2024-11-10,Groceries,UPI,Purchased organic produce,18.66,574.53
2024-11-19,Subscription,UPI,Bought gym membership subscription,48.12,818.39
2024-11-16,Investment,UPI,Invested in bonds,40.52,852.26
2024-11-05,Groceries,Cash,Weekly grocery shopping,0.0,391.08
2024-11-28,Transaction,Debit Card,Transferred money to friend,0.0,331.65
2024-11-22,Investment,UPI,Invested in bonds,20.35,926.08
2024-11-23,Subscription,Debit Card,Renewed streaming service subscription,0.0,316.64
2024-11-03,Investment,Credit Card,Invested in mutual funds,0.0,469.2
2024-11-25,Investment,Cash,Purchased stocks,0.0,884.46
2024-11-22,Investment,UPI,Invested in bonds,14.82,218.97
2024-11-21,Health,Debit Card,Paid for doctor consultation,0.0,522.28
2024-11-24,Bills,UPI,Paid phone bill,12.56,771.71
2024-11-01,Bills,Credit Card,Paid electricity bill,0.0,877.29
2024-11-19,Bills,Debit Card,Paid electricity bill,0.0,826.27
2024-11-19,Stationery,Credit Card,Bought pens and notebooks,0.0,40.97
2024-11-02,Bills,UPI,Paid electricity bill,24.11,858.03
2024-11-29,Stationery,Credit Card,Purchased office supplies,0.0,792.1
2024-11-24,Insurance,UPI,Paid car insurance premium,47.84,817.01
2024-11-22,Bills,Credit Card,Paid electricity bill,0.0,377.24
2024-11-03,Transaction,Debit Card,Sent money to relative,0.0,607.75
2024-11-01,Stationery,Cash,Purchased office supplies,0.0,604.18
2024-11-11,Investment,Credit Card,Invested in bonds,0.0,593.67
2024-11-15,Insurance,UPI,Paid car insurance premium,23.46,661.09
2024-11-24,Stationery,UPI,Bought pens and notebooks,24.43,447.06
2024-11-21,Subscription,UPI,Subscribed to magazine,2.08,125.52
2024-11-10,Stationery,UPI,Bought pens and notebooks,17.94,281.59
2024-11-25,Subscription,UPI,Bought gym membership subscription,19.21,669.75
2024-11-03,Investment,Credit Card,Invested in mutual funds,0.0,461.72
2024-11-23,Subscription,Cash,Renewed streaming service subscription,0.0,45.94
2024-11-23,Bills,Debit Card,Settled water bill,0.0,452.25
2024-11-14,Stationery,Credit Card,Purchased office supplies,0.0,397.7
2024-11-06,Transaction,UPI,Transferred money to friend,23.11,656.5
2024-11-06,Transaction,Credit Card,Sent money to relative,0.0,82.56
2024-11-13,Subscription,Cash,Renewed streaming service subscription,0.0,741.63
2024-11-19,Subscription,Debit Card,Subscribed to magazine,0.0,188.1
2024-11-16,Investment,UPI,Invested in bonds,32.34,775.59
2024-11-08,Transaction,Cash,Paid via online transfer,0.0,281.01
2024-11-01,Insurance,UPI,Completed insurance renewal,6.67,687.82
2024-11-20,Bills,Cash,Settled water bill,0.0,348.69
2024-11-20,Subscription,UPI,Subscribed to magazine,29.46,814.77
2024-11-25,Bills,Debit Card,Settled water bill,0.0,639.27
2024-11-17,Health,Credit Card,Bought medicine from pharmacy,0.0,446.83
